Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000110046		KIAA0404	ATG2A
ENSG00000066739	C14orf103	FLJ10242	ATG2B
ENSG00000144848	APG3L	PC3-96	ATG3
ENSG00000144848	APG3L	FLJ22125	ATG3
ENSG00000144848	APG3L	MGC15201	ATG3
ENSG00000144848	APG3L	DKFZp564M1178	ATG3
ENSG00000224357	ATG3P	dJ54G6.1	ATG3P1
ENSG00000101844	AUTL2		ATG4A
ENSG00000101844	APG4A		ATG4A
ENSG00000232735			ATG4AP1
ENSG00000168397	APG4B	Apg4B	ATG4B
ENSG00000168397	APG4B	KIAA0943	ATG4B
ENSG00000168397	APG4B	DKFZp586D1822	ATG4B
ENSG00000168397	APG4B	AUTL1	ATG4B
ENSG00000125703	AUTL1	FLJ14867	ATG4C
ENSG00000125703	APG4C	FLJ14867	ATG4C
ENSG00000125703	AUTL1	AUTL3	ATG4C
ENSG00000125703	APG4C	AUTL3	ATG4C
ENSG00000130734	AUTL4	APG4-D	ATG4D
ENSG00000130734	APG4D	APG4-D	ATG4D
ENSG00000057663	APG5L	ASP	ATG5
ENSG00000057663	APG5L	APG5	ATG5
ENSG00000057663	APG5L	hAPG5	ATG5
ENSG00000197548	APG7L	GSA7	ATG7
ENSG00000197548	APG7L	DKFZp434N0735	ATG7
ENSG00000198925	APG9L1	FLJ22169	ATG9A
ENSG00000181652	NOS3AS	FLJ14885	ATG9B
ENSG00000181652	NOS3AS	APG9L2	ATG9B
ENSG00000181652	NOS3AS	SONE	ATG9B
ENSG00000152348	APG10L	DKFZP586I0418	ATG10
ENSG00000152348	APG10L	FLJ13954	ATG10
ENSG00000248192			ATG10-AS1
ENSG00000236447			ATG10-IT1
ENSG00000145782	APG12L	APG12	ATG12
ENSG00000266501	ATG12P		ATG12P1
ENSG00000224121			ATG12P2
ENSG00000175224	KIAA0652		ATG13
ENSG00000126775	KIAA0831	ATG14L	ATG14
ENSG00000085978	APG16L	WDR30	ATG16L1
ENSG00000085978	ATG16L	WDR30	ATG16L1
ENSG00000085978	APG16L	FLJ10035	ATG16L1
ENSG00000085978	ATG16L	FLJ10035	ATG16L1
ENSG00000085978	APG16L	ATG16A	ATG16L1
ENSG00000085978	ATG16L	ATG16A	ATG16L1
ENSG00000168010		FLJ00012	ATG16L2
ENSG00000168010		WDR80	ATG16L2
ENSG00000168010		ATG16B	ATG16L2
ENSG00000123395	C12orf44	FLJ11773	ATG101
		ALP	ATHS
ENSG00000138363		PURH	ATIC
ENSG00000138363		AICARFT	ATIC
ENSG00000138363		IMPCHASE	ATIC
ENSG00000198513	SPG3	FSP1	ATL1
ENSG00000198513	SPG3A	FSP1	ATL1
ENSG00000198513	SPG3	AD-FSP	ATL1
ENSG00000198513	SPG3A	AD-FSP	ATL1
ENSG00000119787	ARL6IP2		ATL2
ENSG00000184743		DKFZP564J0863	ATL3
ENSG00000149311	ATA	TEL1	ATM
ENSG00000149311	ATDC	TEL1	ATM
ENSG00000149311	ATC	TEL1	ATM
ENSG00000149311	ATD	TEL1	ATM
ENSG00000149311	ATA	TELO1	ATM
ENSG00000149311	ATDC	TELO1	ATM
ENSG00000149311	ATC	TELO1	ATM
ENSG00000149311	ATD	TELO1	ATM
ENSG00000166454		ASCIZ	ATMIN
ENSG00000166454		KIAA0431	ATMIN
ENSG00000166454		ZNF822	ATMIN
ENSG00000111676	D12S755E	B37	ATN1
ENSG00000111676	DRPLA	B37	ATN1
ENSG00000172238		HATH1	ATOH1
ENSG00000172238		MATH-1	ATOH1
ENSG00000172238		Math1	ATOH1
ENSG00000172238		bHLHa14	ATOH1
ENSG00000179774		Math5	ATOH7
ENSG00000179774		bHLHa13	ATOH7
ENSG00000168874		HATH6	ATOH8
ENSG00000168874		FLJ14708	ATOH8
ENSG00000168874		bHLHa21	ATOH8
ENSG00000177556		HAH1	ATOX1
ENSG00000163399			ATP1A1
ENSG00000203865	C1orf203	MGC16179	ATP1A1-AS1
ENSG00000203865	ATP1A1OS	MGC16179	ATP1A1-AS1
ENSG00000018625	MHP2	FHM2	ATP1A2
ENSG00000105409	DYT12		ATP1A3
ENSG00000132681	ATP1AL2		ATP1A4
ENSG00000143153	ATP1B		ATP1B1
ENSG00000249212	ATP1BL1		ATP1B1P1
ENSG00000129244		AMOG	ATP1B2
ENSG00000069849		FLJ29027	ATP1B3
ENSG00000069849		CD298	ATP1B3
ENSG00000244124			ATP1B3-AS1
ENSG00000271707			ATP1B3P1
ENSG00000101892			ATP1B4
ENSG00000196296	ATP2A	SERCA1	ATP2A1
ENSG00000260442			ATP2A1-AS1
ENSG00000174437	ATP2B	SERCA2	ATP2A2
ENSG00000174437	DAR	SERCA2	ATP2A2
ENSG00000074370		SERCA3	ATP2A3
ENSG00000070961		PMCA1	ATP2B1
ENSG00000271614	LINC00936		ATP2B1-AS1
ENSG00000157087		PMCA2	ATP2B2
ENSG00000236999			ATP2B2-IT1
ENSG00000224771			ATP2B2-IT2
ENSG00000067842	SCAX1	PMCA3	ATP2B3
ENSG00000067842	CLA2	PMCA3	ATP2B3
ENSG00000067842	SCAX1	CFAP39	ATP2B3
ENSG00000067842	CLA2	CFAP39	ATP2B3
ENSG00000058668	ATP2B2	PMCA4	ATP2B4
ENSG00000058668	MXRA1	PMCA4	ATP2B4
ENSG00000017260	BCPM	KIAA1347	ATP2C1
ENSG00000017260	BCPM	ATP2C1A	ATP2C1
ENSG00000017260	BCPM	PMR1	ATP2C1
ENSG00000017260	BCPM	SPCA1	ATP2C1
ENSG00000064270		KIAA0703	ATP2C2
ENSG00000064270		SPCA2	ATP2C2
ENSG00000261286		RP11-517C16.2-001	ATP2C2-AS1
ENSG00000261286		RP11-517C16.2	ATP2C2-AS1
			ATP3
ENSG00000105675		ATP6A	ATP4A
ENSG00000186009		ATP6B	ATP4B
	ATPSBL2		ATP5BL2
ENSG00000152234	ATP5AL2	ATP5A	ATP5F1A
ENSG00000152234	ATPM	ATP5A	ATP5F1A
ENSG00000152234	ATP5A1	ATP5A	ATP5F1A
ENSG00000152234	ATP5AL2	hATP1	ATP5F1A
ENSG00000152234	ATPM	hATP1	ATP5F1A
ENSG00000152234	ATP5A1	hATP1	ATP5F1A
ENSG00000152234	ATP5AL2	OMR	ATP5F1A
ENSG00000152234	ATPM	OMR	ATP5F1A
ENSG00000152234	ATP5A1	OMR	ATP5F1A
ENSG00000152234	ATP5AL2	ORM	ATP5F1A
ENSG00000152234	ATPM	ORM	ATP5F1A
ENSG00000152234	ATP5A1	ORM	ATP5F1A
ENSG00000234861	ATP5AP1		ATP5F1AP1
ENSG00000234861	ATP5A1P5		ATP5F1AP1
ENSG00000234861	ATP5AL1		ATP5F1AP1
ENSG00000234861	ATP5A1P6		ATP5F1AP1
ENSG00000234861	ATP5A1P1		ATP5F1AP1
ENSG00000227682	ATP5AP2		ATP5F1AP2
ENSG00000227682	ATP5A1P2		ATP5F1AP2
ENSG00000263232	ATP5AP3		ATP5F1AP3
ENSG00000263232	ATP5A1P3		ATP5F1AP3
ENSG00000258877	ATP5AP4		ATP5F1AP4
ENSG00000258877	ATP5A1P4		ATP5F1AP4
ENSG00000241571	ATP5A1P9		ATP5F1AP7
ENSG00000241571	ATP5A1P7		ATP5F1AP7
ENSG00000234720	ATP5A1P8		ATP5F1AP8
ENSG00000277297	ATP5A1P10		ATP5F1AP10
ENSG00000110955	ATPSB		ATP5F1B
ENSG00000110955	ATP5B		ATP5F1B
ENSG00000231635	ATPSBL1	ATPMBL1	ATP5F1BP1
ENSG00000231635	ATP5BL1	ATPMBL1	ATP5F1BP1
ENSG00000231635	ATP5BP1	ATPMBL1	ATP5F1BP1
ENSG00000165629	ATP5CL1		ATP5F1C
ENSG00000165629	ATP5C		ATP5F1C
ENSG00000165629	ATP5C1		ATP5F1C
ENSG00000224004	ATP5CL2		ATP5F1CP1
ENSG00000224004	ATP5C2		ATP5F1CP1
ENSG00000224004	ATP5C1P1		ATP5F1CP1
ENSG00000099624	ATP5D		ATP5F1D
ENSG00000124172	ATP5E		ATP5F1E
ENSG00000250922	ATP5EP1		ATP5F1EP1
ENSG00000180389	ATP5EP2		ATP5F1EP2
ENSG00000130770	ATPIF1	ATPI	ATP5IF1
ENSG00000130770	ATPIF1	IP	ATP5IF1
ENSG00000130770	ATPIF1	ATPIP	ATP5IF1
ENSG00000130770	ATPIF1	MGC1167	ATP5IF1
ENSG00000130770	ATPIF1	MGC8898	ATP5IF1
ENSG00000159199	ATP5G		ATP5MC1
ENSG00000159199	ATP5G1		ATP5MC1
ENSG00000230157	ATP5GP3		ATP5MC1P1
ENSG00000230157	ATP5G1P1		ATP5MC1P1
ENSG00000283016	ATP5GP4		ATP5MC1P2
ENSG00000283016	ATP5G1P2		ATP5MC1P2
ENSG00000242244	ATP5G1P3		ATP5MC1P3
ENSG00000227440	ATP5G1P4		ATP5MC1P4
ENSG00000227590	ATP5G1P5		ATP5MC1P5
ENSG00000214318	ATP5G1P6		ATP5MC1P6
ENSG00000232734	ATP5G1P7		ATP5MC1P7
ENSG00000224948	ATP5G1P8		ATP5MC1P8
ENSG00000135390	ATP5G2		ATP5MC2
ENSG00000225712	ATP5GP1		ATP5MC2P1
ENSG00000225712	ATP5G2P1		ATP5MC2P1
ENSG00000258401	ATP5GP2		ATP5MC2P2
ENSG00000258401	ATP5G2P2		ATP5MC2P2
ENSG00000230482	ATP5G2P3		ATP5MC2P3
ENSG00000228847	ATP5G2P4		ATP5MC2P4
ENSG00000154518	ATP5G3		ATP5MC3
ENSG00000169020	ATP5I		ATP5ME
ENSG00000241468	ATP5J2	ATP5JL	ATP5MF
ENSG00000248919	ATP5J2-PTCD1		ATP5MF-PTCD1
ENSG00000224421	ATP5J2LP		ATP5MFP1
ENSG00000228834	ATP5J2P2	bA249L21.4	ATP5MFP2
ENSG00000232851	ATP5J2P3	bA159H20.5	ATP5MFP3
ENSG00000256826	ATP5J2P4		ATP5MFP4
ENSG00000256103	ATP5J2P5		ATP5MFP5
ENSG00000261102	ATP5J2P6		ATP5MFP6
ENSG00000167283	ATP5L	ATP5JG	ATP5MG
ENSG00000249222	ATP5K2	dJ222E13.5	ATP5MGL
ENSG00000249222	ATP5L2	dJ222E13.5	ATP5MGL
ENSG00000256280	ATP5KP1	ATPE5KP1	ATP5MGP1
ENSG00000256280	ATP5LP1	ATPE5KP1	ATP5MGP1
ENSG00000232362	ATP5KP2		ATP5MGP2
ENSG00000232362	ATP5LP2		ATP5MGP2
ENSG00000249256	ATP5KP3		ATP5MGP3
ENSG00000249256	ATP5LP3		ATP5MGP3
ENSG00000225176	ATP5LP4		ATP5MGP4
ENSG00000242561	ATP5LP5		ATP5MGP5
ENSG00000267376	ATP5LP6		ATP5MGP6
ENSG00000267189	ATP5LP7		ATP5MGP7
ENSG00000271332	ATP5LP8		ATP5MGP8
ENSG00000156411	C14orf2	MP68	ATP5MJ
ENSG00000156411	ATP5MPL	MP68	ATP5MJ
ENSG00000156411	C14orf2	MLQ	ATP5MJ
ENSG00000156411	ATP5MPL	MLQ	ATP5MJ
ENSG00000156411	C14orf2	6.8PL	ATP5MJ
ENSG00000156411	ATP5MPL	6.8PL	ATP5MJ
ENSG00000173915	USMG5	MGC14697	ATP5MK
ENSG00000173915	ATP5MD	MGC14697	ATP5MK
ENSG00000173915	USMG5	bA792D24.4	ATP5MK
ENSG00000173915	ATP5MD	bA792D24.4	ATP5MK
ENSG00000173915	USMG5	DAPIT	ATP5MK
ENSG00000173915	ATP5MD	DAPIT	ATP5MK
ENSG00000173915	USMG5	AGP	ATP5MK
ENSG00000173915	ATP5MD	AGP	ATP5MK
ENSG00000231549	USMG5P1		ATP5MKP1
ENSG00000231549	ATP5MDP1		ATP5MKP1
ENSG00000116459	ATP5F1		ATP5PB
ENSG00000224451	ATP5F1P1		ATP5PBP1
ENSG00000214342	ATP5F1P2		ATP5PBP2
ENSG00000214003	ATP5F1P3		ATP5PBP3
ENSG00000214025	ATP5F1P4		ATP5PBP4
ENSG00000254944	ATP5F1P5		ATP5PBP5
ENSG00000219806	ATP5F1P6		ATP5PBP6
ENSG00000261424	ATP5F1P7		ATP5PBP7
ENSG00000167863	ATP5H	ATPQ	ATP5PD
ENSG00000167863	ATP5H	ATP5JD	ATP5PD
ENSG00000261679	ATP5HP1	HsT18164	ATP5PDP1
ENSG00000229184	ATP5HP2		ATP5PDP2
ENSG00000213954	ATP5HP3		ATP5PDP3
ENSG00000234925	ATP5HP4		ATP5PDP4
ENSG00000154723	ATP5A	CF6	ATP5PF
ENSG00000154723	ATP5	CF6	ATP5PF
ENSG00000154723	ATPM	CF6	ATP5PF
ENSG00000154723	ATP5J	CF6	ATP5PF
ENSG00000237701	ATP5JP1		ATP5PFP1
ENSG00000241837	ATP5O	OSCP	ATP5PO
ENSG00000241837	ATP5O	ATPO	ATP5PO
ENSG00000159186			ATP5POP1
ENSG00000071553	ATP6S1	ORF	ATP6AP1
ENSG00000071553	ATP6IP1	ORF	ATP6AP1
ENSG00000071553	ATP6S1	XAP-3	ATP6AP1
ENSG00000071553	ATP6IP1	XAP-3	ATP6AP1
ENSG00000071553	ATP6S1	VATPS1	ATP6AP1
ENSG00000071553	ATP6IP1	VATPS1	ATP6AP1
ENSG00000071553	ATP6S1	16A	ATP6AP1
ENSG00000071553	ATP6IP1	16A	ATP6AP1
ENSG00000071553	ATP6S1	Ac45	ATP6AP1
ENSG00000071553	ATP6IP1	Ac45	ATP6AP1
ENSG00000071553	ATP6S1	XAP3	ATP6AP1
ENSG00000071553	ATP6IP1	XAP3	ATP6AP1
ENSG00000071553	ATP6S1	CF2	ATP6AP1
ENSG00000071553	ATP6IP1	CF2	ATP6AP1
ENSG00000205464			ATP6AP1L
ENSG00000182220	ATP6IP2	M8-9	ATP6AP2
ENSG00000182220	ATP6IP2	APT6M8-9	ATP6AP2
ENSG00000182220	ATP6IP2	ATP6M8-9	ATP6AP2
ENSG00000182220	ATP6IP2	PRR	ATP6AP2
ENSG00000182220	ATP6IP2	RENR	ATP6AP2
ENSG00000114573	VPP2	Vma1	ATP6V1A
ENSG00000114573	ATP6A1	Vma1	ATP6V1A
ENSG00000114573	ATP6V1A1	Vma1	ATP6V1A
ENSG00000114573	VPP2	VA68	ATP6V1A
ENSG00000114573	ATP6A1	VA68	ATP6V1A
ENSG00000114573	ATP6V1A1	VA68	ATP6V1A
			ATP6V1A2
ENSG00000116039	VPP3	VATB	ATP6V1B1
ENSG00000116039	ATP6B1	VATB	ATP6V1B1
ENSG00000116039	VPP3	RTA1B	ATP6V1B1
ENSG00000116039	ATP6B1	RTA1B	ATP6V1B1
ENSG00000116039	VPP3	Vma2	ATP6V1B1
ENSG00000116039	ATP6B1	Vma2	ATP6V1B1
ENSG00000239322			ATP6V1B1-AS1
ENSG00000147416	VPP3	VATB	ATP6V1B2
ENSG00000147416	ATP6B2	VATB	ATP6V1B2
ENSG00000147416	VPP3	Vma2	ATP6V1B2
ENSG00000147416	ATP6B2	Vma2	ATP6V1B2
ENSG00000147416	VPP3	HO57	ATP6V1B2
ENSG00000147416	ATP6B2	HO57	ATP6V1B2
ENSG00000155097	ATP6D	VATC	ATP6V1C1
ENSG00000155097	ATP6C	VATC	ATP6V1C1
ENSG00000155097	ATP6D	Vma5	ATP6V1C1
ENSG00000155097	ATP6C	Vma5	ATP6V1C1
ENSG00000143882		VMA5	ATP6V1C2
ENSG00000143882		ATP6C2	ATP6V1C2
ENSG00000100554	ATP6M	VATD	ATP6V1D
ENSG00000100554	ATP6M	VMA8	ATP6V1D
ENSG00000131100	ATP6E	P31	ATP6V1E1
ENSG00000131100	ATP6V1E	P31	ATP6V1E1
ENSG00000131100	ATP6E	Vma4	ATP6V1E1
ENSG00000131100	ATP6V1E	Vma4	ATP6V1E1
ENSG00000131100	ATP6E	ATP6E2	ATP6V1E1
ENSG00000131100	ATP6V1E	ATP6E2	ATP6V1E1
ENSG00000225099	ATP6EP1		ATP6V1E1P1
ENSG00000225099	ATP6V1EP1		ATP6V1E1P1
ENSG00000266549	ATP6EP2		ATP6V1E1P2
ENSG00000266549	ATP6V1EP2		ATP6V1E1P2
ENSG00000256293	ATP6EL1		ATP6V1E1P3
ENSG00000256293	ATP6V1EL1		ATP6V1E1P3
ENSG00000250565	ATP6EL2	MGC9341	ATP6V1E2
ENSG00000250565	ATP6V1EL2	MGC9341	ATP6V1E2
ENSG00000250565	ATP6EL2	VMA4	ATP6V1E2
ENSG00000250565	ATP6V1EL2	VMA4	ATP6V1E2
ENSG00000250565	ATP6EL2	ATP6E1	ATP6V1E2
ENSG00000250565	ATP6V1EL2	ATP6E1	ATP6V1E2
ENSG00000128524		ATP6S14	ATP6V1F
ENSG00000128524		VATF	ATP6V1F
ENSG00000128524		Vma7	ATP6V1F
ENSG00000272899			ATP6V1FNB
ENSG00000136888	ATP6J	ATP6GL	ATP6V1G1
ENSG00000136888	ATP6G1	ATP6GL	ATP6V1G1
ENSG00000136888	ATP6J	Vma10	ATP6V1G1
ENSG00000136888	ATP6G1	Vma10	ATP6V1G1
ENSG00000136888	ATP6J	ATP6G	ATP6V1G1
ENSG00000136888	ATP6G1	ATP6G	ATP6V1G1
ENSG00000136888	ATP6J	DKFZp547P234	ATP6V1G1
ENSG00000136888	ATP6G1	DKFZp547P234	ATP6V1G1
ENSG00000270371	ATP6V1GP1		ATP6V1G1P1
ENSG00000253502	ATP6V1GP2		ATP6V1G1P2
ENSG00000224662			ATP6V1G1P3
ENSG00000233343			ATP6V1G1P4
ENSG00000270904			ATP6V1G1P5
ENSG00000249372			ATP6V1G1P6
ENSG00000230474			ATP6V1G1P7
ENSG00000213760	ATP6G	Vma10	ATP6V1G2
ENSG00000213760	ATP6G2	Vma10	ATP6V1G2
ENSG00000213760	ATP6G	NG38	ATP6V1G2
ENSG00000213760	ATP6G2	NG38	ATP6V1G2
ENSG00000213760	ATP6G	Em:AC004181.3	ATP6V1G2
ENSG00000213760	ATP6G2	Em:AC004181.3	ATP6V1G2
ENSG00000254870			ATP6V1G2-DDX39B
ENSG00000151418		ATP6G3	ATP6V1G3
ENSG00000151418		Vma10	ATP6V1G3
ENSG00000047249		CGI-11	ATP6V1H
ENSG00000047249		SFD	ATP6V1H
ENSG00000047249		VMA13	ATP6V1H
ENSG00000047249		SFDalpha	ATP6V1H
ENSG00000047249		SFDbeta	ATP6V1H
ENSG00000033627	VPP1	a1	ATP6V0A1
ENSG00000033627	ATP6N1	a1	ATP6V0A1
ENSG00000033627	ATP6N1A	a1	ATP6V0A1
ENSG00000033627	VPP1	Vph1	ATP6V0A1
ENSG00000033627	ATP6N1	Vph1	ATP6V0A1
ENSG00000033627	ATP6N1A	Vph1	ATP6V0A1
ENSG00000033627	VPP1	Stv1	ATP6V0A1
ENSG00000033627	ATP6N1	Stv1	ATP6V0A1
ENSG00000033627	ATP6N1A	Stv1	ATP6V0A1
ENSG00000185344		TJ6	ATP6V0A2
ENSG00000185344		a2	ATP6V0A2
ENSG00000185344		TJ6s	ATP6V0A2
ENSG00000185344		TJ6M	ATP6V0A2
ENSG00000185344		ATP6a2	ATP6V0A2
ENSG00000185344		J6B7	ATP6V0A2
ENSG00000185344		ATP6N1D	ATP6V0A2
ENSG00000185344		Vph1	ATP6V0A2
ENSG00000185344		Stv1	ATP6V0A2
ENSG00000105929	ATP6N1B	RDRTA2	ATP6V0A4
ENSG00000105929	ATP6N2	RDRTA2	ATP6V0A4
ENSG00000105929	RTA1C	RDRTA2	ATP6V0A4
ENSG00000105929	ATP6N1B	VPP2	ATP6V0A4
ENSG00000105929	ATP6N2	VPP2	ATP6V0A4
ENSG00000105929	RTA1C	VPP2	ATP6V0A4
ENSG00000105929	ATP6N1B	RTADR	ATP6V0A4
ENSG00000105929	ATP6N2	RTADR	ATP6V0A4
ENSG00000105929	RTA1C	RTADR	ATP6V0A4
ENSG00000105929	ATP6N1B	a4	ATP6V0A4
ENSG00000105929	ATP6N2	a4	ATP6V0A4
ENSG00000105929	RTA1C	a4	ATP6V0A4
ENSG00000105929	ATP6N1B	Vph1	ATP6V0A4
ENSG00000105929	ATP6N2	Vph1	ATP6V0A4
ENSG00000105929	RTA1C	Vph1	ATP6V0A4
ENSG00000105929	ATP6N1B	Stv1	ATP6V0A4
ENSG00000105929	ATP6N2	Stv1	ATP6V0A4
ENSG00000105929	RTA1C	Stv1	ATP6V0A4
ENSG00000117410	ATP6F	VMA16	ATP6V0B
ENSG00000117410	ATP6F	HATPL	ATP6V0B
ENSG00000185883	ATPL	VATL	ATP6V0C
ENSG00000185883	ATP6C	VATL	ATP6V0C
ENSG00000185883	ATP6L	VATL	ATP6V0C
ENSG00000185883	ATPL	Vma3	ATP6V0C
ENSG00000185883	ATP6C	Vma3	ATP6V0C
ENSG00000185883	ATP6L	Vma3	ATP6V0C
ENSG00000230201	ATCD1		ATP6V0CP1
ENSG00000244142			ATP6V0CP2
ENSG00000213435			ATP6V0CP3
ENSG00000284138			ATP6V0CP4
ENSG00000159720	ATP6D	ATP6DV	ATP6V0D1
ENSG00000159720	ATP6D	VATX	ATP6V0D1
ENSG00000159720	ATP6D	VPATPD	ATP6V0D1
ENSG00000159720	ATP6D	P39	ATP6V0D1
ENSG00000159720	ATP6D	Vma6	ATP6V0D1
ENSG00000270049			ATP6V0D1-DT
ENSG00000147614	ATP6D2	FLJ38708	ATP6V0D2
ENSG00000147614	ATP6D2	VMA6	ATP6V0D2
ENSG00000113732	ATP6H	M9.2	ATP6V0E1
ENSG00000113732	ATP6V0E	M9.2	ATP6V0E1
ENSG00000225364			ATP6V0E1P1
ENSG00000223513			ATP6V0E1P2
ENSG00000238038			ATP6V0E1P3
ENSG00000227883			ATP6V0E1P4
ENSG00000171130	C7orf32		ATP6V0E2
ENSG00000171130	ATP6V0E2L		ATP6V0E2
ENSG00000204934			ATP6V0E2-AS1
ENSG00000165240	MNK		ATP7A
ENSG00000123191	WND		ATP7B
ENSG00000270855			ATP7BP1
ENSG00000124406		ATPIA	ATP8A1
ENSG00000260519			ATP8A1-DT
ENSG00000132932		ATPIB	ATP8A2
ENSG00000132932		ML-1	ATP8A2
ENSG00000240800			ATP8A2P1
ENSG00000229800			ATP8A2P2
ENSG00000233963			ATP8A2P3
ENSG00000081923	FIC1	ATPIC	ATP8B1
ENSG00000081923	BRIC	ATPIC	ATP8B1
ENSG00000081923	PFIC1	ATPIC	ATP8B1
ENSG00000081923	FIC1	PFIC	ATP8B1
ENSG00000081923	BRIC	PFIC	ATP8B1
ENSG00000081923	PFIC1	PFIC	ATP8B1
ENSG00000143515		ATPID	ATP8B2
ENSG00000143515		KIAA1137	ATP8B2
ENSG00000130270		ATPIK	ATP8B3
ENSG00000104043		ATPIM	ATP8B4
ENSG00000104043		KIAA1939	ATP8B4
ENSG00000179766		FetA	ATP8B5P
ENSG00000054793		KIAA0611	ATP9A
ENSG00000054793		ATPIIA	ATP9A
ENSG00000166377		ATPIIB	ATP9B
ENSG00000206190	ATP10C	ATPVA	ATP10A
ENSG00000206190	ATP10C	ATPVC	ATP10A
ENSG00000206190	ATP10C	KIAA0566	ATP10A
ENSG00000259011			ATP10A-DT
ENSG00000118322		ATPVB	ATP10B
ENSG00000118322		KIAA0715	ATP10B
ENSG00000118322		FLJ21477	ATP10B
ENSG00000145246		ATPVD	ATP10D
ENSG00000145246		KIAA1487	ATP10D
ENSG00000068650		ATPIH	ATP11A
ENSG00000068650		ATPIS	ATP11A
ENSG00000068650		KIAA1021	ATP11A
ENSG00000232684			ATP11A-AS1
ENSG00000197595	C13orf35	FLJ26443	ATP11AUN
ENSG00000197595	C13orf35	SMABLO1	ATP11AUN
ENSG00000058063		ATPIF	ATP11B
ENSG00000058063		ATPIR	ATP11B
ENSG00000058063		KIAA0956	ATP11B
ENSG00000101974		ATPIG	ATP11C
ENSG00000101974		ATPIQ	ATP11C
ENSG00000075673	ATP1AL1	HK	ATP12A
ENSG00000075673	ATP1AL1	H-K-ATPase	ATP12A
ENSG00000105726	ATP13A	KIAA1825	ATP13A1
ENSG00000105726	ATP13A	FLJ31858	ATP13A1
ENSG00000105726	ATP13A	CGI-152	ATP13A1
ENSG00000159363	PARK9	HSA9947	ATP13A2
ENSG00000159363	PARK9	CLN12	ATP13A2
ENSG00000133657		AFURS1	ATP13A3
ENSG00000127249		DKFZp761I1011	ATP13A4
ENSG00000127249		FLJ37958	ATP13A4
ENSG00000225473			ATP13A4-AS1
ENSG00000187527		FLJ16025	ATP13A5
ENSG00000236508			ATP13A5-AS1
ENSG00000166896	XRCC6BP1	KUB3	ATP23
ENSG00000123472		FLJ22351	ATPAF1
ENSG00000123472		Atp11p	ATPAF1
ENSG00000123472		ATP11	ATPAF1
ENSG00000171953		Atp12p	ATPAF2
ENSG00000171953		ATP12	ATPAF2
ENSG00000171953		LP3663	ATPAF2
ENSG00000171953		MGC29736	ATPAF2
ENSG00000150756	FAM173B	JS-2	ATPSCKMT
ENSG00000175054		FRP1	ATR
ENSG00000175054		SCKL	ATR
ENSG00000175054		SCKL1	ATR
ENSG00000175054		MEC1	ATR
ENSG00000138085	C2orf28	HSPC013	ATRAID
ENSG00000138085	C2orf28	p18	ATRAID
ENSG00000138085	C2orf28	APR3	ATRAID
ENSG00000164053		FLJ12343	ATRIP
ENSG00000164053		MGC20625	ATRIP
ENSG00000164053		MGC21482	ATRIP
ENSG00000164053		MGC26740	ATRIP
ENSG00000088812		DPPT-L	ATRN
ENSG00000088812		MGCA	ATRN
ENSG00000107518		KIAA0534	ATRNL1
ENSG00000107518		FLJ45344	ATRNL1
ENSG00000107518		ALP	ATRNL1
ENSG00000085224	RAD54	XH2	ATRX
ENSG00000085224	JMS	XH2	ATRX
ENSG00000085224	MRX52	XH2	ATRX
ENSG00000085224	RAD54	XNP	ATRX
ENSG00000085224	JMS	XNP	ATRX
ENSG00000085224	MRX52	XNP	ATRX
ENSG00000124788	SCA1	D6S504E	ATXN1
ENSG00000124788	SCA1	ATX1	ATXN1
ENSG00000229931			ATXN1-AS1
ENSG00000224470		BOAT1	ATXN1L
ENSG00000204842	SCA2	ATX2	ATXN2
ENSG00000204842	TNRC13	ATX2	ATXN2
ENSG00000258099			ATXN2-AS
ENSG00000168488		A2lp	ATXN2L
ENSG00000168488		A2D	ATXN2L
ENSG00000066427	SCA3	ATX3	ATXN3
ENSG00000066427	MJD	ATX3	ATXN3
ENSG00000066427	SCA3	JOS	ATXN3
ENSG00000066427	MJD	JOS	ATXN3
ENSG00000123594		MJDL	ATXN3L
ENSG00000163635	SCA7	OPCA3	ATXN7
ENSG00000163635	SCA7	ADCAII	ATXN7
ENSG00000163635	SCA7	SGF73	ATXN7
ENSG00000146776	ATXN7L4	KIAA1218	ATXN7L1
ENSG00000146776	ATXN7L4	MGC33190	ATXN7L1
ENSG00000162650		MGC46534	ATXN7L2
ENSG00000162650		FLJ00381	ATXN7L2
ENSG00000087152		DKFZp761G2113	ATXN7L3
ENSG00000267394			ATXN7L3-AS1
ENSG00000253719		lnc-SCA7	ATXN7L3B
ENSG00000215168			ATXN7L3P1
			ATXN8
ENSG00000230223	SCA8	NCRNA00003	ATXN8OS
ENSG00000230223	KLHL1AS	NCRNA00003	ATXN8OS
ENSG00000130638	SCA10	E46L	ATXN10
ENSG00000130638	SCA10	FLJ37990	ATXN10
ENSG00000148090			AUH
ENSG00000127423	C1orf135	MGC2603	AUNIP
ENSG00000127423	C1orf135	AIBp	AUNIP
ENSG00000115307			AUP1
ENSG00000087586	STK15	BTAK	AURKA
ENSG00000087586	STK6	BTAK	AURKA
ENSG00000087586	STK15	AurA	AURKA
ENSG00000087586	STK6	AurA	AURKA
ENSG00000087586	STK15	STK7	AURKA
ENSG00000087586	STK6	STK7	AURKA
ENSG00000087586	STK15	ARK1	AURKA
